url,permalink,title,seller,seller_url,price_usd,is_free,discloses_sales,sales_count,ratings_count,ratings_avg,sales_per_rating,seller_products,seller_ratings_total,top_category
https://polymage.gumroad.com/l/CMoonAntlers,jhlaz,Crystal Moon Antlers,PolyMage,https://polymage.gumroad.com,3.00,False,False,,0,0.0,,18,84,3d/3d-assets/avatar-components/horns
https://polymage.gumroad.com/l/Clown,veyrg,Clown Mask,PolyMage,https://polymage.gumroad.com,2.00,False,False,,6,5.0,,17,78,3d/3d-assets/accessories/masks
https://polymage.gumroad.com/l/Coffin,hfvdtw,Coffin Purse,PolyMage,https://polymage.gumroad.com,3.00,False,False,,0,0.0,,18,84,3d/3d-assets/accessories/bags
https://polymage.gumroad.com/l/CyberDemonHorns,oxezse,CyberDemon Horns,PolyMage,https://polymage.gumroad.com,3.00,False,False,,0,0.0,,18,84,3d/3d-assets/avatar-components/horns
https://polymage.gumroad.com/l/CyberDemonMask,kbaiy,CyberDemon Mask & Earrings,PolyMage,https://polymage.gumroad.com,1.00,False,False,,0,0.0,,18,84,3d/3d-assets/accessories/masks
https://polymage.gumroad.com/l/DemonHorns,daots,[Freebie] Demon Horns 2,PolyMage,https://polymage.gumroad.com,0.00,True,False,,19,5.0,,17,65,3d/3d-assets/avatar-components/horns
https://polymage.gumroad.com/l/FH3,cgtze,[Freebie] Horns #3,PolyMage,https://polymage.gumroad.com,0.00,True,False,,8,5.0,,17,76,3d/3d-assets/avatar-components/horns
https://polymage.gumroad.com/l/HS1,gvzgbd,10x Horn Set,PolyMage,https://polymage.gumroad.com,8.00,False,False,,0,0.0,,18,84,3d/3d-assets/avatar-components/horns
https://polymage.gumroad.com/l/HS2,rmqwm,10x Horn Set 2,PolyMage,https://polymage.gumroad.com,8.00,False,False,,0,0.0,,18,84,3d/3d-assets/avatar-components/horns
https://polymage.gumroad.com/l/JesterMask,hvfks,Jester Mask,PolyMage,https://polymage.gumroad.com,2.00,False,False,,0,0.0,,18,84,3d/3d-assets/accessories/masks
https://polymage.gumroad.com/l/LoveCollar,ygmvuq,Love Collar,PolyMage,https://polymage.gumroad.com,1.00,False,False,,0,0.0,,18,84,3d/3d-assets/accessories/chokers
https://polymage.gumroad.com/l/LunaCollar,faylo,Luna Collar,PolyMage,https://polymage.gumroad.com,2.00,False,False,,1,5.0,,17,83,3d/3d-assets/accessories/chokers
https://polymage.gumroad.com/l/SpitefulDemonHorns,onceb,Spiteful Demon Horns,PolyMage,https://polymage.gumroad.com,1.00,False,False,,1,5.0,,17,83,3d/3d-assets/avatar-components/horns
https://polymage.gumroad.com/l/SpitefulDemonTail,axwgk,Spiteful Demon Tail,PolyMage,https://polymage.gumroad.com,1.00,False,False,,2,5.0,,17,82,3d/3d-assets/avatar-components/tails
https://polymage.gumroad.com/l/aughka,aughka,Rainbow Horns,PolyMage,https://polymage.gumroad.com,3.00,False,False,,0,0.0,,18,84,3d/3d-assets/avatar-components/horns
https://polymage.gumroad.com/l/backpack,nxdeer,Backpack,PolyMage,https://polymage.gumroad.com,2.00,False,False,,0,0.0,,18,84,3d/3d-assets/accessories/bags
